Number of spins in each direction: 60
Total number of MC cycles: 1000000
Initial spin configuration: random
T              E              M  specific_heat susceptibility
2       -6283.02        3273.46         2761.4        11815.8
2.05       -6143.63        3212.07        3067.88        3578.09
2.1       -5982.94        3124.12        3546.19        7194.67
2.15       -5795.38        3007.99        4156.51        7306.54
2.2       -5566.59         2820.4         5218.8        20309.9
2.25       -5270.98        2451.22        6930.86        79893.9
2.3       -4885.95        1611.08        7635.54         230765
2.35       -4565.29        915.516        5302.07         151247
2.4       -4337.69        624.719        4132.12        81704.2
