Number of spins in each direction: 40
Total number of MC cycles: 1000000
Initial spin configuration: random
T              E              M  specific_heat susceptibility
2       -2792.62        1457.23        1178.02        1127.43
2.05       -2730.46        1427.85        1346.31        1174.42
2.1       -2659.56        1390.33        1540.96        1540.55
2.15       -2575.95        1336.98        1841.93        3280.67
2.2        -2474.9         1257.7        2242.21        7069.42
2.25       -2343.98        1100.22        2947.14        24458.2
2.3       -2194.69        870.789        3180.31          42835
2.35       -2044.84        589.328        2530.19        43951.4
2.4        -1933.1        413.603         1949.3        30549.8
