Number of spins in each direction: 10
Total number of MC cycles: 1000000
Initial spin configuration: random
T              E              M  specific_heat susceptibility
2.33       -139.702         69.947        130.803        221.457
2.34       -138.435        69.1283        130.915        223.959
2.35        -137.28        68.2548        130.955        230.358
2.36        -135.85        67.1664        130.518        235.545
2.37       -134.575         66.333        129.766         237.81
2.38       -133.062        65.0841         129.69        244.828
2.39       -132.001        64.3839        128.285        245.617
2.4       -130.705        63.3187        128.405         251.75
